"id","name","adminCode","latitude","longitude","population","country"
1856971,Mishima Shi,37,35.1394,138.94882,112552,JP
1635111,Mojokerto,08,-7.4664,112.4338,112557,ID
1795857,Shaowu,07,27.34089,117.4831,112585,CN
5110918,Bushwick,NY,40.69427,-73.91875,112620,US
2847736,Reutlingen,01,48.49144,9.20427,112627,DE
1497917,Nefteyugansk,32,61.09979,72.60349,112632,RU
1274767,Chanduasi,36,28.45178,78.78277,112635,IN
1809077,Haikou,29,24.77985,102.57548,112644,CN
2982652,Rouen,28,49.44313,1.09932,112787,FR
1257055,Satara,16,17.68589,73.99333,112793,IN
2034497,Guangming,05,45.33333,122.78333,112819,CN
1162813,Vihāri,04,30.0445,72.3556,112840,PK
3395448,Maranguape,06,-3.99581,-38.72969,112926,BR
3557846,Guanabacoa,02,23.1236,-82.30082,112964,CU
324190,Alanya,07,36.54375,31.99982,112969,TR
5347335,Fairfield,CA,38.24936,-122.03997,112970,US
495344,Shchelkovo,47,55.92497,37.97218,113000,RU
4151316,Clearwater,FL,27.96585,-82.8001,113003,US
4903976,North Peoria,IL,40.71754,-89.58426,113004,US
2653225,Chesterfield,ENG,53.25,-1.41667,113057,GB
5443910,Westminster,CO,39.83665,-105.0372,113130,US
2129537,Kitami,12,43.80306,143.89083,113137,JP
3405004,Bragança,16,-0.96813,-46.73377,113165,BR
4164167,Miami Gardens,FL,25.94204,-80.2456,113187,US
1268936,Jhunjhunūn,24,28.12559,75.39797,113193,IN
5339840,Costa Mesa,CA,33.64113,-117.91867,113204,US
5116495,Elmhurst,NY,40.73649,-73.87791,113364,US
3374333,Praia,14,14.93152,-23.51254,113364,CV
909863,Luanshya,08,-13.13667,28.41661,113365,ZM
1857664,Marugame Shi,17,34.2856,133.81535,113414,JP
3101619,Chorzów,83,50.30582,18.9742,113430,PL
5334223,Carlsbad,CA,33.15809,-117.35059,113453,US
1856977,Mishima,37,35.11667,138.91667,113479,JP
2862375,Nippes,07,50.96545,6.95314,113487,DE
7284830,Budapest XIII. kerület,05,47.52978,19.08068,113531,HU
1714201,Dumaguete,07,9.30722,123.30261,113541,PH
3460170,Jandira,27,-23.5275,-46.9025,113605,BR
1801615,Maba,30,24.68413,113.59839,113609,CN
2035399,Songyuan,05,45.12902,124.82769,113611,CN
3348078,Cuito,02,-12.38333,16.93333,113624,AO
1798713,Pingshan,30,22.99376,114.71311,113631,CN
1252942,Wardha,16,20.73933,78.59784,113759,IN
1489530,Tobol’sk,78,58.19807,68.25457,113800,RU
1853240,Saijō-shi,05,33.861,133.10832,113801,JP
2327879,Offa,30,8.14911,4.72074,113830,NG
1264111,Māler Kotla,23,30.5309,75.87949,113840,IN
3469136,Botucatu,27,-22.88583,-48.445,113862,BR
2491191,Laghouat,25,33.8,2.86514,113872,DZ
1281019,Hotan,13,37.1075,79.93548,114000,CN
516264,Ochakovo-Matveyevskoye,48,55.68432,37.44654,114000,RU
3427408,Villa Lugano,07,-34.67907,-58.47263,114000,AR
2419992,Kankan,K,10.38542,-9.30568,114009,GN
315373,Erzincan,24,39.73919,39.49015,114027,TR
300822,Siirt,74,37.9293,41.94134,114034,TR
1272842,Dharmavaram,02,14.41435,77.72035,114050,IN
1628453,Sawangan,30,-6.40278,106.77444,114069,ID
3182164,Bergamo,09,45.69601,9.66721,114162,IT
1785545,Yuyao,02,30.05,121.14944,114177,CN
5992500,Kingston,08,44.22976,-76.48098,114195,CA
6541469,Trento,17,46.07043,11.12074,114198,IT
3061343,Okres Znojmo,78,48.862,16.0627,114214,CZ
5343858,Downey,CA,33.94001,-118.13257,114219,US
